CASRN,LD50,Compound name,Binary,GHS,Set,SMILES
,11,Cadusafos,1.0,1,ms,CCOP(=O)(SC(C)CC)SC(C)CC
35037-73-1,268,1-isocyanato-4-(trifluoromethoxy)benzene,1.0,3,ms,O=C=Nc1ccc(OC(F)(F)F)cc1
8065-36-9,163,Bufencarb [ANSI:ISO],1.0,2,ms,CCCC(C)c1cccc(OC(=O)NC)c1
2782-70-9,130,AI 3-25739,1.0,2,ms,COP(=S)(OC)SCc1ccc(SP(=S)(OC)OC)cc1
2088-72-4,220,Methylacetophos,1.0,3,ms,CCOC(=O)CSP(=O)(OC)OC
70356-09-1,1000,"1-(4-tert-butylphenyl)-3-(4-methoxyphenyl)propane-1,3-dione",1.0,4,ms,COc1ccc(C(=O)C=C(O)c2ccc(C(C)(C)C)cc2)cc1
99-88-7,1000,4-(propan-2-yl)aniline,1.0,4,ms,CC(C)c1ccc(N)cc1
297-78-9,5,Isobenzan [ISO:BSI],1.0,1,ms,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl
112965-21-6,15,,1.0,1,ms,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O
2487-01-06,1300,Medinoterb acetate [ISO],1.0,4,ms,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-]
101-27-9,1600,Barban [ANSI:BSI:ISO],1.0,4,ms,O=C(Nc1cccc(Cl)c1)OCC#CCCl
93-71-0,360,Allidochlor [ISO],1.0,3,ms,C=CCN(CC=C)C(=O)CCl
950-37-8,25,Methidathion [ANSI:BSI:ISO],1.0,1,ms,COc1nn(CSP(=S)(OC)OC)c(=O)s1
15667-63-7,67,1-cyanoprop-2-en-1-yl acetate,1.0,2,ms,C=CC(C#N)OC(C)=O
27610-48-6,1500,2-({[6-(oxiran-2-ylmethoxy)naphthalen-1-yl]oxy}methyl)oxirane,1.0,4,ms,c1cc(OCC2CO2)c2ccc(OCC3CO3)cc2c1
10311-84-9,28,Dialifor [ANSI:BSI:ISO],1.0,1,ms,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
3309-87-3,160,Isofenchlorfos,1.0,2,ms,COP(=O)(OC)Sc1ccc(Cl)cc1
4242-33-5,4,2-Fluoroethyldiphenyl acetate,1.0,1,ms,O=C(OCCF)C(c1ccccc1)c1ccccc1
10175-31-2,1000,[(2-chlorophenyl)methyl]dimethylamine,1.0,4,ms,CN(C)Cc1ccccc1Cl
21725-46-2,1200,Cyanazine [BSI:ISO],1.0,4,ms,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
124-09-4,1900,"hexane-1,6-diamine",1.0,4,ms,NCCCCCCN
108-16-7,1271,1-(dimethylamino)propan-2-ol,1.0,4,ms,CC(O)CN(C)C
107-13-1,148,Acrylonitrile,1.0,2,ms,C=CC#N
10265-92-6,50,Methamidophos,1.0,2,ms,COP(N)(=O)SC
2961-62-8,630,Ioxynil,1.0,3,ms,N#Cc1cc(I)c(O)c(I)c1
572-48-5,200,Coumithoate [ISO],1.0,3,ms,CCOP(=S)(OCC)Oc1ccc2c3c(c(=O)oc2c1)CCCC3
56717-11-4,115,Piproctanyl bromide [ISO:BSI],1.0,2,ms,C=CC[N+]1(CCC(C)CCCC(C)C)CCCCC1
144-41-2,283,Morphothion [ISO],1.0,3,ms,COP(=S)(OC)SCC(=O)N1CCOCC1
761-65-9,730,"N,N-dibutylformamide",1.0,3,ms,CCCCN(C=O)CCCC
25376-45-8,463,diaminotoluene,1.0,3,ms,Cc1cc(N)ccc1N
75-47-8,1184,,1.0,4,ms,IC(I)I
41083-11-8,1000,Azocyclotin [BSI:ISO],1.0,4,ms,c1nc[n]([Sn]([CH]2CCCCC2)([CH]2CCCCC2)[CH]2CCCCC2)n1
640-15-3,179,Thiometon [BSI:ISO],1.0,2,ms,CCSCCSP(=S)(OC)OC
76578-14-8,1852,Quizalofop-ethyl [ISO],1.0,4,ms,CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1
56-18-8,400,bis(3-aminopropyl)amine,1.0,3,ms,NCCCNCCCN
2463-84-5,790,Dicapthon,1.0,3,ms,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl
953-17-3,190,Methyl trithion,1.0,2,ms,COP(=S)(OC)SCSc1ccc(Cl)cc1
3811-49-2,400,Dioxabenzofos [BSI:ISO],1.0,3,ms,COP1(=S)OCc2ccccc2O1
88-85-7,80,Dinoseb [ANSI:BSI:ISO],1.0,2,ms,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
,1000,Deltamethrin,1.0,4,ms,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
1776-83-6,50,Quintiofos [INN:BAN],1.0,2,ms,CCOP(=S)(Oc1cccc2cccnc12)c1ccccc1
106-93-4,300,Ethylene dibromide [BSI:ISO],1.0,3,ms,BrCCBr
62-53-3,1400,Aniline,1.0,4,ms,Nc1ccccc1
627-70-3,652,,1.0,3,ms,CC(C)=NN=C(C)C
115-26-4,2,Dimefox [ISO],1.0,1,ms,CN(C)P(=O)(F)N(C)C
